step,traffic_pattern,injection_rate,network_load,throughput,avg_latency,network_latency,unstable,congestion_score,hotspot_detected
254,tornado,0.015047,0.287609,0.253609,162.03,147.74,1,0.48563735545193143,1
255,tornado,0.017814,0.320328,0.267937,206.09,177.05,1,0.5783345148185762,1
256,tornado,0.017991,0.319047,0.263844,208.15,181.39,1,0.5923844853163431,1
257,tornado,0.01796,0.321625,0.261562,206.41,181.32,1,0.6027897212468397,1
258,tornado,0.017958,0.321625,0.261562,206.41,181.32,1,0.6027897212468397,1
259,tornado,0.018189,0.327484,0.269453,202.89,175.12,1,0.5835386699225067,1
260,tornado,0.018201,0.326688,0.269234,202.64,175.07,1,0.5822345132499791,1
261,neighbor,0.001133,0.018562,0.018125,41.28,41.28,0,0.3075152201186529,0
262,neighbor,0.0011,0.018562,0.018125,41.28,41.28,0,0.3075152201186529,0
263,neighbor,0.001055,0.017313,0.016875,40.11,40.11,0,0.30815929005100023,0
264,neighbor,0.001064,0.017313,0.016875,40.11,40.11,0,0.30815929005100023,0
265,neighbor,0.001045,0.017,0.016563,40.25,40.25,0,0.3089467827768334,0
266,neighbor,0.002182,0.038375,0.037922,39.24,38.95,0,0.2794786732135583,0
267,neighbor,0.001879,0.03275,0.032188,39.1,39.06,0,0.2880987585458857,0
268,neighbor,0.001961,0.034938,0.034484,39.15,38.89,0,0.28297804031787316,0
269,neighbor,0.00189,0.033375,0.032813,39.21,39.17,0,0.28751766800942036,0
270,neighbor,0.002161,0.038062,0.037609,39.12,38.8,0,0.2796191620275907,0
271,neighbor,0.002958,0.055281,0.054797,39.27,38.9,0,0.26397635071826475,0
272,neighbor,0.003091,0.057469,0.056984,39.52,39.07,0,0.2624042648971592,0
273,neighbor,0.003025,0.055906,0.055422,39.33,38.97,0,0.26350355938251,0
274,neighbor,0.003037,0.056531,0.056047,39.51,39.03,0,0.26321376304235056,0
275,neighbor,0.002858,0.054344,0.053859,39.34,38.86,0,0.26494605959055517,0
276,neighbor,0.0051,0.096016,0.094297,39.42,38.28,0,0.24119214843872236,0
277,neighbor,0.004868,0.090391,0.088531,40.62,39.75,0,0.2496553014007285,0
278,neighbor,0.004993,0.092578,0.090953,39.5,38.54,0,0.24360892962069705,0
279,neighbor,0.004862,0.090391,0.088531,40.62,39.75,0,0.2496553014007285,0
280,neighbor,0.004939,0.092266,0.090641,39.78,38.98,0,0.24432157594034862,0
281,neighbor,0.007877,0.149922,0.147047,40.23,38.6,0,0.20270478791591734,0
282,neighbor,0.008073,0.154266,0.151562,41.29,39.45,0,0.19946349889563392,0
